Team1Index,Team1,Team2Index,Team2,score1,score2,scoreDiff
NA,South Dakota St.,NA,Saint Mary's (CA),59,72,-13
NA,Nicholls St.,NA,Idaho St.,70,51,19
48,UNC Greensboro,NA,Little Rock,77,70,7
NA,Bethesda (CA),NA,Cal Poly,46,100,-54
NA,Valparaiso,NA,Vanderbilt,71,77,-6
NA,Fairleigh Dickinson,62,Rutgers,75,96,-21
NA,UC Irvine,58,San Diego St.,58,77,-19
NA,Longwood,NA,Wake Forest,60,71,-11
NA,Eastern Ill.,NA,Marquette,50,75,-25
NA,UT Arlington,NA,Louisiana Tech,71,76,-5
NA,Mercer,61,Georgia Tech,83,73,10
34,Hartford,41,UConn,57,69,-12
39,Colorado,NA,Kansas St.,76,58,18
NA,Ark.-Pine Bluff,27,Wisconsin,58,92,-34
10,VCU,NA,Memphis,70,59,11
NA,Omaha,49,Abilene Christian,58,70,-12
NA,North Dakota St.,NA,Nebraska,57,79,-22
NA,Belmont,NA,Queens (NC),73,61,12
NA,South Carolina St.,NA,Bowling Green,78,101,-23
NA,UNCW,NA,Troy,73,50,23
NA,Limestone,NA,Col. of Charleston,59,99,-40
68,Drexel,NA,Pittsburgh,74,83,-9
NA,VMI,NA,Penn St.,65,86,-21
NA,Illinois St.,NA,UMass Lowell,82,72,10
NA,Coppin St.,NA,Duke,71,81,-10
NA,Southern Miss.,NA,Jacksonville,51,66,-15
NA,Mobile,NA,Fla. Atlantic,41,83,-42
NA,Carver,NA,Wofford,37,111,-74
NA,USC Upstate,NA,Furman,63,91,-28
NA,Our Lady of the Lake,NA,Rice,64,103,-39
42,LSU,NA,Saint Louis,81,85,-4
NA,Buffalo,NA,Army West Point,74,78,-4
NA,Navy,51,Mount St. Mary's,73,67,6
NA,George Mason,NA,Howard,84,70,14
NA,Regis (CO),NA,Denver,66,82,-16
NA,Texas St.,NA,A&M-Corpus Christi,75,63,12
NA,UMBC,NA,Saint Francis (PA),80,65,15
NA,Southeastern La.,NA,UAB,59,84,-25
NA,St. Katherine,NA,Southern Utah,47,95,-48
NA,William Jessup,NA,Portland,73,83,-10
NA,Toccoa Falls,NA,Kennesaw St.,44,106,-62
NA,High Point,NA,Elon,75,76,-1
NA,UC Davis,NA,Idaho St.,70,61,9
NA,UT Arlington,NA,Northwestern St.,80,71,9
NA,South Carolina,65,Liberty,62,78,-16
NA,Air Force,NA,CSUN,66,61,5
NA,UTSA,NA,UTRGV,64,81,-17
NA,Coastal Ga.,NA,Ga. Southern,79,91,-12
NA,N.C. Wesleyan,NA,Coastal Carolina,68,117,-49
NA,Mississippi Val.,NA,Wyoming,61,97,-36
NA,Western Caro.,NA,UNC Asheville,83,81,2
NA,Lipscomb,NA,Lamar University,76,73,3
NA,Southeast Mo. St.,NA,Kansas City,71,66,5
NA,Rhode Island,NA,South Fla.,84,68,16
NA,LMU (CA),NA,Minnesota,73,88,-15
31,North Texas,21,Arkansas,54,69,-15
NA,Central Mich.,NA,UIC,72,74,-2
NA,Radford,17,Norfolk St.,54,57,-3
NA,Nicholls St.,NA,Santa Clara,57,73,-16
NA,William & Mary,NA,Old Dominion,78,86,-8
NA,Tulsa,NA,TCU,65,70,-5
52,Texas Southern,56,Oklahoma St.,65,85,-20
NA,Notre Dame,45,Michigan St.,70,80,-10
28,Virginia Tech,23,Villanova,81,73,8
NA,Benedictine Mesa,16,Grand Canyon,63,94,-31
NA,Louisiana,19,Baylor,82,112,-30
