Team1Index,Team1,Team2Index,Team2,score1,score2,scoreDiff
NA,New Orleans,NA,Rice,62,73,-11
NA,Texas St.,NA,Northern Ariz.,70,65,5
NA,South Carolina St.,NA,Furman,52,118,-66
NA,Bryant,NA,Massachusetts,93,88,5
NA,Vermont,NA,UMass Lowell,65,73,-8
NA,Florida Col.,NA,Fla. Atlantic,72,107,-35
NA,Saint Joseph's,57,Tennessee,66,102,-36
NA,Morgan St.,NA,Delaware,65,59,6
NA,Carver,NA,FIU,34,111,-77
NA,Gardner-Webb,38,Florida St.,59,72,-13
NA,Col. of Charleston,NA,Georgia St.,55,72,-17
NA,Prairie View,NA,Washington St.,62,90,-28
NA,Edward Waters,NA,North Florida,71,98,-27
NA,Sam Houston St.,NA,UTRGV,69,66,3
NA,Hampton,NA,Charleston So.,67,55,12
NA,Belmont,NA,Evansville,72,63,9
NA,Sacred Heart,NA,Wagner,46,74,-28
NA,Southern Ill.,NA,Butler,76,73,3
NA,Mississippi Val.,NA,Mississippi St.,48,87,-39
NA,Tulsa,NA,Memphis,56,49,7
NA,Belhaven,NA,Samford,84,133,-49
NA,Little Rock,NA,Missouri St.,77,85,-8
NA,Longwood,28,Virginia Tech,58,84,-26
NA,Ark.-Pine Bluff,19,Baylor,42,99,-57
NA,San Jose St.,29,Utah St.,62,107,-45
NA,Northwestern St.,1,Gonzaga,57,95,-38
52,Texas Southern,40,BYU,71,87,-16
NA,Murray St.,NA,Austin Peay,70,74,-4
NA,CSU Bakersfield,NA,Stanford,50,63,-13
NA,New Mexico,NA,Boise St.,53,77,-24
NA,Maine,NA,Boston College,62,78,-16
NA,Alcorn,65,Liberty,65,108,-43
NA,Southeast Mo. St.,NA,Indiana St.,66,72,-6
NA,St. Francis (IL),60,Loyola Chicago,55,92,-37
14,Ohio,NA,Akron,70,90,-20
NA,LSU-Alexandria,31,North Texas,78,110,-32
NA,William & Mary,4,Virginia,40,76,-36
NA,Charlotte,NA,George Washington,66,65,1
NA,Northern Ill.,NA,Toledo,55,78,-23
NA,Ball St.,NA,Western Mich.,76,68,8
NA,Mercer,NA,Kennesaw St.,81,71,10
NA,Hofstra,NA,Richmond,76,71,5
NA,Northern Ariz.,NA,Denver,68,65,3
NA,Montana St.,NA,Portland,59,62,-3
NA,Niagara,NA,Albany (NY),70,65,5
NA,Paul Quinn,NA,A&M-Corpus Christi,35,59,-24
NA,Fairleigh Dickinson,NA,Fairfield,69,65,4
18,App State,NA,Auburn,53,67,-14
NA,Chattanooga,NA,Tennessee St.,66,63,3
NA,Presbyterian,NA,The Citadel,82,94,-12
NA,Vermont,NA,UMass Lowell,62,53,9
NA,Tulane,NA,East Carolina,58,68,-10
NA,Sacred Heart,NA,Wagner,86,85,1
NA,Idaho St.,NA,Northern Colo.,64,69,-5
NA,Cincinnati,NA,UCF,70,75,-5
NA,James Madison,10,VCU,81,82,-1
NA,Colorado St.,NA,Santa Clara,70,57,13
49,Abilene Christian,21,Arkansas,72,85,-13
NA,UT Martin,NA,Ole Miss,43,90,-47
NA,Seattle U,NA,California,65,70,-5
48,UNC Greensboro,NA,N.C. A&T,86,65,21
NA,Hampton,NA,Charleston So.,70,68,2
NA,UNC Asheville,NA,Marshall,67,88,-21
26,North Carolina,NA,NC State,76,79,-3
11,Wichita St.,NA,South Fla.,82,77,5
NA,Ga. Southern,NA,FGCU,60,73,-13
NA,Howard Payne,NA,UT Arlington,53,117,-64
NA,Bradley,9,Missouri,53,54,-1
NA,Lamar University,NA,UTSA,66,88,-22
NA,La Salle,44,Maryland,71,84,-13
NA,Tennessee Tech,NA,Western Ky.,68,88,-20
NA,High Point,NA,Eastern Ky.,67,86,-19
24,Texas Tech,8,Oklahoma,69,67,2
NA,Montana,NA,Arizona,64,70,-6
NA,Vanderbilt,NA,Davidson,65,85,-20
NA,Louisville,NA,Pittsburgh,64,54,10
NA,Northeastern,NA,Georgia,58,76,-18
NA,North Dakota,12,Drake,55,88,-33
NA,Nebraska,27,Wisconsin,53,67,-14
NA,ETSU,36,Alabama,69,85,-16
NA,Louisiana Tech,NA,ULM,68,57,11
NA,Temple,54,Houston,50,76,-26
NA,Saint Mary's (CA),58,San Diego St.,49,74,-25
NA,North Dakota St.,NA,TCU,82,89,-7
55,West Virginia,3,Kansas,65,79,-14
22,Purdue,2,Iowa,55,70,-15
NA,Portland St.,64,Oregon St.,62,67,-5
NA,St. Katherine,NA,UC San Diego,51,77,-26
NA,Northwestern St.,1,Gonzaga,78,95,-17
39,Colorado,16,Grand Canyon,74,64,10
NA,Bellarmine,NA,Notre Dame,70,81,-11
NA,Delaware St.,NA,UNCW,63,87,-24
NA,NJIT,NA,Rider,81,66,15
NA,Saint Peter's,NA,St. Francis Brooklyn,70,64,6
NA,Xavier,5,Creighton,61,66,-5
NA,Towson,NA,George Mason,65,70,-5
NA,Idaho St.,NA,Northern Colo.,71,56,15
NA,Southeastern La.,NA,Grambling,77,70,7
62,Rutgers,20,Ohio St.,68,80,-12
NA,Northwestern St.,NA,Washington St.,52,62,-10
NA,USC Upstate,57,Tennessee,60,80,-20
47,Georgetown,NA,Seton Hall,67,78,-11
NA,CSU Bakersfield,NA,Pepperdine,79,51,28
NA,Providence,NA,Butler,64,70,-6
53,Illinois,NA,Penn St.,98,81,17
NA,Weber St.,40,BYU,79,87,-8
23,Villanova,NA,Marquette,85,68,17
NA,Coppin St.,50,Iona,65,85,-20
NA,Southwestern Christ.,NA,Tulsa,45,102,-57
NA,St. Katherine,NA,UC San Diego,39,75,-36
NA,Kansas City,NA,Saint Louis,46,62,-16
NA,Northwestern,NA,Indiana,74,67,7
NA,San Jose St.,29,Utah St.,52,85,-33
NA,Western Ill.,NA,DePaul,72,91,-19
NA,New Mexico,NA,Boise St.,52,89,-37
27,Wisconsin,45,Michigan St.,85,76,9
44,Maryland,22,Purdue,70,73,-3
35,Michigan,NA,Nebraska,80,69,11
2,Iowa,NA,Minnesota,95,102,-7
NA,Youngstown St.,67,Cleveland St.,69,87,-18
NA,Kentucky,NA,Louisville,59,62,-3
54,Houston,NA,UCF,63,54,9
20,Ohio St.,NA,Northwestern,70,71,-1
NA,Coppin St.,NA,Towson,73,78,-5
NA,Nicholls St.,42,LSU,80,86,-6
NA,Green Bay,NA,Wright St.,53,67,-14
NA,Indiana,53,Illinois,60,69,-9
4,Virginia,1,Gonzaga,75,98,-23
17,Norfolk St.,NA,George Mason,68,65,3
NA,Oakland,NA,Detroit Mercy,77,75,2
NA,Robert Morris,NA,Purdue Fort Wayne,102,88,14
NA,Binghamton,NA,UMBC,67,74,-7
34,Hartford,NA,New Hampshire,69,77,-8
NA,Youngstown St.,67,Cleveland St.,74,81,-7
12,Drake,NA,Indiana St.,81,63,18
NA,Green Bay,NA,Wright St.,77,90,-13
NA,UMass Lowell,NA,Stony Brook,58,73,-15
NA,Canisius,NA,Monmouth,66,84,-18
NA,Olivet,NA,Eastern Mich.,65,94,-29
NA,Carver,NA,Jacksonville St.,45,104,-59
NA,NJIT,NA,Vermont,78,92,-14
NA,Missouri St.,NA,UNI,79,59,20
NA,Evansville,NA,Southern Ill.,57,63,-6
NA,Illinois St.,60,Loyola Chicago,60,90,-30
NA,Alcorn,NA,Vanderbilt,59,87,-28
NA,Oakland,NA,Detroit Mercy,83,80,3
NA,DePaul,NA,Providence,90,95,-5
NA,Robert Morris,NA,Purdue Fort Wayne,82,87,-5
13,UC Santa Barbara,NA,UC Irvine,56,75,-19
NA,Binghamton,NA,UMBC,75,69,6
NA,UMass Lowell,NA,Stony Brook,64,71,-7
34,Hartford,NA,New Hampshire,51,53,-2
NA,NJIT,NA,Vermont,81,80,1
NA,Canisius,NA,Monmouth,69,97,-28
NA,Loyola (LA),NA,Southern Miss.,54,74,-20
12,Drake,NA,Indiana St.,73,66,7
NA,New Mexico St.,NA,CSUN,63,66,-3
NA,Evansville,NA,Southern Ill.,84,72,12
NA,Illinois St.,60,Loyola Chicago,55,86,-31
44,Maryland,27,Wisconsin,70,64,6
NA,Carver,NA,Troy,35,88,-53
13,UC Santa Barbara,NA,UC Irvine,69,73,-4
45,Michigan St.,NA,Minnesota,56,81,-25
NA,Fresno St.,NA,Colorado St.,53,75,-22
NA,Missouri St.,NA,UNI,75,85,-10
NA,Northern Ariz.,1,Gonzaga,58,88,-30
39,Colorado,NA,Arizona,74,88,-14
NA,Northeastern,55,West Virginia,51,73,-22
NA,Central Ark.,19,Baylor,56,93,-37
NA,Miami (FL),28,Virginia Tech,78,80,-2
22,Purdue,62,Rutgers,76,81,-5
NA,Santa Clara,6,Southern California,63,86,-23
NA,South Fla.,NA,Memphis,57,58,-1
NA,Wofford,NA,Mercer,78,65,13
NA,Central Mich.,NA,Eastern Mich.,87,60,27
NA,UIW,24,Texas Tech,51,79,-28
NA,Texas A&M,42,LSU,54,77,-23
38,Florida St.,59,Clemson,67,77,-10
NA,Mary Hardin-Baylor,NA,Sam Houston St.,59,101,-42
NA,Champion Chris.,NA,McNeese,36,94,-58
NA,Dallas Christian,49,Abilene Christian,44,82,-38
NA,Freed-Hardeman,NA,Lipscomb,72,93,-21
NA,Southeastern La.,NA,Lamar University,64,74,-10
NA,Omaha,NA,Kansas St.,58,60,-2
NA,Dixie St.,1,Gonzaga,67,112,-45
NA,Ole Miss,36,Alabama,64,82,-18
NA,Northwestern,2,Iowa,72,87,-15
54,Houston,NA,Tulsa,64,65,-1
10,VCU,NA,Saint Joseph's,80,64,16
NA,Manhattan,NA,Delaware St.,65,59,6
NA,George Washington,NA,Fordham,71,47,24
NA,Furman,NA,Chattanooga,77,73,4
NA,Gardner-Webb,NA,Hampton,69,80,-11
NA,Bowling Green,14,Ohio,83,75,8
NA,SMU,NA,Temple,79,71,8
NA,Campbell,30,Winthrop,83,84,-1
NA,UNC Asheville,NA,Longwood,80,73,7
NA,Alcorn,19,Baylor,76,105,-29
43,St. Bonaventure,NA,Rhode Island,57,63,-6
NA,Fresno St.,NA,Colorado St.,59,81,-22
NA,Butler,NA,Providence,55,71,-16
NA,Radford,NA,Presbyterian,71,65,6
NA,George Mason,NA,Massachusetts,93,92,1
4,Virginia,NA,Notre Dame,66,57,9
NA,USC Upstate,NA,High Point,52,63,-11
NA,Nebraska,20,Ohio St.,54,90,-36
NA,Mississippi St.,NA,Georgia,83,73,10
NA,Seton Hall,NA,Xavier,85,68,17
NA,Newman,11,Wichita St.,43,81,-38
NA,Richmond,NA,Davidson,80,74,6
NA,Murray St.,NA,Belmont,55,68,-13
NA,La Salle,NA,Dayton,67,65,2
NA,Western Caro.,NA,ETSU,78,86,-8
21,Arkansas,NA,Auburn,97,85,12
NA,Champion Chris.,NA,McNeese,76,91,-15
NA,Prairie View,NA,TCU,61,66,-5
NA,Boston College,NA,NC State,76,79,-3
26,North Carolina,61,Georgia Tech,67,72,-5
NA,Austin Peay,NA,Tennessee St.,68,59,9
NA,Eastern Ill.,NA,Eastern Ky.,61,69,-8
NA,VMI,NA,Samford,71,84,-13
NA,UT Martin,NA,Jacksonville St.,70,80,-10
NA,Penn St.,NA,Indiana,85,87,-2
NA,Southeast Mo. St.,NA,Tennessee Tech,63,72,-9
NA,Portland,NA,Seattle U,68,84,-16
25,Florida,NA,Vanderbilt,91,72,19
57,Tennessee,9,Missouri,73,53,20
NA,DePaul,41,UConn,61,82,-21
NA,Sacramento St.,NA,Saint Mary's (CA),45,63,-18
NA,Gardner-Webb,NA,Hampton,80,69,11
NA,Campbell,30,Winthrop,76,94,-18
NA,McMurry,NA,UIW,71,92,-21
NA,UNC Asheville,NA,Longwood,55,65,-10
NA,Radford,NA,Presbyterian,63,65,-2
NA,Catawba,NA,Wake Forest,62,70,-8
29,Utah St.,NA,Air Force,83,48,35
NA,Minnesota,27,Wisconsin,59,71,-12
NA,San Diego,NA,San Francisco,62,70,-8
NA,USC Upstate,NA,High Point,60,51,9
NA,Utah,46,UCLA,70,72,-2
NA,Northern Ariz.,NA,Idaho,78,65,13
35,Michigan,44,Maryland,84,73,11
NA,Arizona,NA,Washington,80,53,27
NA,Boise St.,NA,San Jose St.,106,54,52
NA,Nevada,NA,New Mexico,68,54,14
39,Colorado,6,Southern California,72,62,10
NA,California,7,Oregon,69,82,-13
NA,Saint Peter's,NA,Canisius,58,70,-12
NA,McMurry,NA,UIW,54,81,-27
NA,Niagara,NA,Marist,61,63,-2
65,Liberty,NA,Lipscomb,70,77,-7
NA,UTSA,NA,Rice,86,95,-9
NA,Green Bay,NA,Youngstown St.,77,84,-7
NA,Western Ky.,NA,Charlotte,67,63,4
NA,Montana Western,NA,Montana St.,67,96,-29
NA,Rider,NA,Fairfield,70,62,8
NA,UT Arlington,NA,Little Rock,93,102,-9
NA,Milwaukee,NA,Robert Morris,64,67,-3
NA,Troy,18,App State,69,56,13
NA,Jacksonville,NA,Kennesaw St.,62,57,5
NA,Georgia St.,NA,Coastal Carolina,69,81,-12
NA,South Alabama,NA,Ga. Southern,88,59,29
NA,Purdue Fort Wayne,NA,Northern Ky.,68,75,-7
67,Cleveland St.,NA,IUPUI,65,62,3
NA,Kent St.,NA,Akron,62,66,-4
NA,Old Dominion,NA,FIU,67,82,-15
NA,Wright St.,NA,Oakland,90,51,39
NA,Texas St.,NA,Louisiana,77,83,-6
NA,CSU Bakersfield,NA,Long Beach St.,89,90,-1
NA,Arkansas St.,NA,ULM,72,84,-12
NA,Transylvania,NA,Bellarmine,40,90,-50
NA,Marshall,NA,Louisiana Tech,68,75,-7
NA,Cal St. Fullerton,13,UC Santa Barbara,63,81,-18
NA,UTEP,NA,Southern Miss.,66,74,-8
NA,Elon,NA,Northeastern,52,75,-23
NA,Louisville,NA,Boston College,76,64,12
9,Missouri,21,Arkansas,81,68,13
5,Creighton,NA,Providence,67,65,2
37,Texas,3,Kansas,84,59,25
NA,Duquesne,NA,George Washington,75,63,12
NA,Saint Peter's,NA,Canisius,60,63,-3
NA,Chattanooga,NA,VMI,79,84,-5
NA,Florida A&M,NA,South Carolina,71,78,-7
19,Baylor,NA,Iowa St.,76,65,11
NA,Bucknell,NA,Navy,69,78,-9
42,LSU,25,Florida,79,83,-4
NA,Lafayette,NA,Lehigh,89,90,-1
NA,TCU,NA,Kansas St.,67,60,7
NA,Col. of Charleston,NA,Delaware,67,70,-3
NA,Northern Ariz.,NA,Idaho,83,78,5
2,Iowa,62,Rutgers,77,75,2
NA,East Carolina,NA,Tulane,56,60,-4
NA,N.C. A&T,NA,South Carolina St.,97,86,11
NA,Niagara,NA,Marist,86,72,14
NA,Toledo,NA,Western Mich.,70,59,11
59,Clemson,NA,Miami (FL),66,65,1
NA,Binghamton,34,Hartford,56,76,-20
NA,William & Mary,NA,Hofstra,56,61,-5
NA,Mercer,NA,Furman,80,83,-3
NA,Tulsa,NA,Cincinnati,70,66,4
NA,UTSA,NA,Rice,69,84,-15
NA,Old Dominion,NA,FIU,71,66,5
NA,Georgia St.,NA,Coastal Carolina,70,62,8
NA,New Hampshire,NA,Maine,56,59,-3
14,Ohio,NA,Ball St.,78,68,10
NA,Army West Point,32,Colgate,57,101,-44
NA,South Alabama,NA,Ga. Southern,49,62,-13
NA,NJIT,NA,UMass Lowell,73,67,6
NA,Auburn,NA,Texas A&M,66,68,-2
NA,Jacksonville,NA,Kennesaw St.,72,66,6
56,Oklahoma St.,24,Texas Tech,82,77,5
55,West Virginia,8,Oklahoma,71,75,-4
NA,Green Bay,NA,Youngstown St.,79,69,10
NA,Lamar University,49,Abilene Christian,65,83,-18
NA,Notre Dame,26,North Carolina,65,66,-1
NA,Colorado St.,58,San Diego St.,70,67,3
NA,UNI,NA,Evansville,61,65,-4
NA,Utah,6,Southern California,46,64,-18
NA,Troy,18,App State,59,90,-31
NA,Western Ky.,NA,Charlotte,71,75,-4
NA,George Mason,NA,Dayton,65,74,-9
NA,Kansas City,NA,North Dakota,45,52,-7
NA,North Dakota St.,NA,Western Ill.,68,50,18
NA,Utah Valley,NA,Weber St.,62,70,-8
NA,Butler,NA,Seton Hall,60,68,-8
NA,Mt. St. Joseph,NA,Bellarmine,38,90,-52
NA,Tennessee Tech,NA,Eastern Ill.,81,87,-6
NA,UT Arlington,NA,Little Rock,62,75,-13
NA,Texas St.,NA,Louisiana,71,59,12
65,Liberty,NA,Lipscomb,66,50,16
NA,Eastern Ky.,NA,Austin Peay,80,75,5
NA,Central Ark.,NA,McNeese,81,67,14
33,Oral Roberts,NA,Omaha,95,83,12
NA,Rider,NA,Fairfield,56,72,-16
NA,Denver,NA,South Dakota,54,93,-39
66,Morehead St.,NA,Murray St.,61,56,5
67,Cleveland St.,NA,IUPUI,59,49,10
NA,Wright St.,NA,Oakland,71,81,-10
NA,Arkansas St.,NA,ULM,55,62,-7
43,St. Bonaventure,NA,Richmond,69,66,3
NA,ETSU,48,UNC Greensboro,71,61,10
NA,Belmont,NA,UT Martin,90,69,21
NA,UTEP,NA,Southern Miss.,77,62,15
NA,New Orleans,NA,SFA,67,78,-11
NA,Grambling,NA,Alabama St.,66,49,17
NA,California,64,Oregon St.,64,73,-9
29,Utah St.,NA,Air Force,72,53,19
11,Wichita St.,NA,Ole Miss,83,79,4
NA,Bowling Green,NA,Northern Ill.,68,42,26
NA,Tennessee St.,NA,Southeast Mo. St.,79,83,-4
22,Purdue,53,Illinois,58,66,-8
NA,Albany (NY),NA,Vermont,63,62,1
NA,Sam Houston,NA,Nicholls St.,84,81,3
NA,Purdue Fort Wayne,NA,Northern Ky.,68,70,-2
36,Alabama,57,Tennessee,71,63,8
NA,Kentucky,NA,Mississippi St.,78,73,5
NA,Mississippi Val.,NA,Ark.-Pine Bluff,52,92,-40
NA,Indiana St.,NA,Missouri St.,74,84,-10
NA,Fordham,NA,La Salle,52,89,-37
NA,Boise St.,NA,San Jose St.,87,86,1
NA,UCF,NA,South Fla.,61,68,-7
NA,Marshall,NA,Louisiana Tech,80,73,7
NA,CSU Bakersfield,NA,Long Beach St.,89,76,13
NA,Wyoming,NA,Fresno St.,78,74,4
NA,Samford,NA,Wofford,84,94,-10
NA,Northern Colo.,NA,Montana,64,62,2
NA,Marquette,47,Georgetown,64,60,4
31,North Texas,60,Loyola Chicago,49,57,-8
NA,Cal St. Fullerton,13,UC Santa Barbara,61,65,-4
NA,Northwestern St.,NA,Houston Baptist,93,99,-6
NA,San Francisco,1,Gonzaga,62,85,-23
45,Michigan St.,NA,Nebraska,84,77,7
39,Colorado,46,UCLA,62,65,-3
NA,Nevada,NA,New Mexico,84,74,10
NA,Stanford,7,Oregon,56,73,-17
NA,Arizona,NA,Washington St.,86,82,4
NA,Mt. St. Joseph,NA,Bellarmine,38,90,-52
NA,Elon,NA,Northeastern,58,66,-8
NA,NJIT,NA,UMass Lowell,60,74,-14
NA,New Hampshire,NA,Maine,62,58,4
NA,William & Mary,NA,Hofstra,73,82,-9
NA,Binghamton,34,Hartford,74,77,-3
NA,Col. of Charleston,NA,Delaware,66,59,7
NA,Duquesne,NA,George Washington,73,75,-2
NA,Monmouth,NA,Siena,77,78,-1
NA,Army West Point,32,Colgate,75,73,2
NA,Fresno Pacific,NA,Sacramento St.,54,85,-31
NA,Lehigh,NA,Lafayette,70,82,-12
NA,UNI,NA,Evansville,64,70,-6
NA,Indiana St.,NA,Missouri St.,66,70,-4
NA,N.C. A&T,NA,South Carolina St.,73,66,7
NA,Kansas City,NA,North Dakota,77,53,24
NA,North Dakota St.,NA,Western Ill.,78,67,11
NA,Saint Joseph's,NA,Rhode Island,77,85,-8
NA,Albany (NY),NA,Vermont,66,74,-8
33,Oral Roberts,NA,Omaha,86,75,11
NA,Denver,NA,South Dakota,57,79,-22
20,Ohio St.,NA,Minnesota,60,77,-17
NA,Navy,NA,Bucknell,63,60,3
NA,Morgan St.,NA,James Madison,80,73,7
NA,Southern Ill.,12,Drake,55,73,-18
NA,Wake Forest,61,Georgia Tech,54,70,-16
54,Houston,NA,SMU,74,60,14
NA,Northwestern,35,Michigan,66,85,-19
NA,Northern Colo.,NA,Montana,54,56,-2
NA,Boston U.,NA,Holy Cross,83,76,7
NA,Stanford,64,Oregon St.,81,71,10
30,Winthrop,NA,Charleston So.,85,69,16
NA,Monmouth,NA,Siena,62,76,-14
NA,Campbell,NA,Gardner-Webb,70,61,9
NA,Longwood,NA,USC Upstate,69,71,-2
NA,Hampton,NA,Radford,66,79,-13
NA,Southern Ill.,12,Drake,55,86,-31
NA,Mt. Marty,NA,South Dakota St.,50,93,-43
NA,Delaware St.,NA,Coppin St.,78,86,-8
44,Maryland,NA,Indiana,55,63,-8
NA,Colorado St.,58,San Diego St.,65,78,-13
NA,Jackson St.,NA,Alabama St.,60,44,16
NA,Wyoming,NA,Fresno St.,61,81,-20
55,West Virginia,56,Oklahoma St.,87,84,3
NA,Benedictine Mesa,NA,San Jose St.,64,80,-16
NA,Holy Cross,NA,Boston U.,68,66,2
NA,Toledo,NA,Kent St.,84,82,2
30,Winthrop,NA,Charleston So.,78,76,2
NA,Campbell,NA,Gardner-Webb,70,85,-15
NA,Fla. Atlantic,NA,James Madison,70,79,-9
NA,Dayton,NA,Fordham,54,55,-1
NA,Central Mich.,NA,Bowling Green,69,90,-21
NA,Longwood,NA,USC Upstate,59,65,-6
NA,Hampton,NA,Radford,65,76,-11
NA,Northern Ill.,14,Ohio,73,76,-3
NA,Kansas St.,24,Texas Tech,71,82,-11
NA,Davidson,NA,Duquesne,61,48,13
NA,Vanderbilt,NA,Kentucky,74,77,-3
25,Florida,36,Alabama,71,86,-15
NA,NC State,59,Clemson,70,74,-4
NA,Delaware St.,NA,Coppin St.,77,81,-4
26,North Carolina,NA,Miami (FL),67,65,2
NA,Iowa St.,37,Texas,72,78,-6
62,Rutgers,45,Michigan St.,45,68,-23
9,Missouri,NA,Mississippi St.,63,78,-15
41,UConn,NA,Marquette,65,54,11
3,Kansas,NA,TCU,93,64,29
NA,Saint Joseph's,43,St. Bonaventure,57,83,-26
NA,Tulsa,NA,South Fla.,61,51,10
NA,Pittsburgh,63,Syracuse,63,60,3
NA,Rhode Island,NA,Richmond,73,80,-7
28,Virginia Tech,NA,Louisville,71,73,-2
NA,Georgia,42,LSU,92,94,-2
47,Georgetown,NA,Butler,55,63,-8
48,UNC Greensboro,NA,Wofford,84,75,9
NA,Samford,NA,Chattanooga,68,73,-5
21,Arkansas,57,Tennessee,74,79,-5
10,VCU,NA,George Mason,66,61,5
NA,UIW,NA,Northwestern St.,75,67,8
11,Wichita St.,54,Houston,63,70,-7
49,Abilene Christian,NA,Houston Baptist,66,63,3
NA,St. John's (NY),NA,Xavier,61,69,-8
NA,Lamar University,NA,Nicholls St.,69,76,-7
NA,Sam Houston,NA,Southeastern La.,70,52,18
NA,New Orleans,NA,Central Ark.,79,83,-4
NA,Boston College,NA,Duke,82,83,-1
NA,Minnesota,35,Michigan,57,82,-25
8,Oklahoma,19,Baylor,61,76,-15
NA,Seton Hall,5,Creighton,53,89,-36
NA,Texas A&M,NA,South Carolina,54,78,-24
NA,Wake Forest,4,Virginia,61,70,-9
NA,Auburn,NA,Ole Miss,61,72,-11
29,Utah St.,NA,New Mexico,77,45,32
NA,Air Force,NA,Boise St.,59,78,-19
51,Mount St. Mary's,NA,St. Francis Brooklyn,55,70,-15
NA,Central Conn. St.,NA,Bryant,68,93,-25
NA,Northeastern,NA,Hofstra,81,78,3
7,Oregon,39,Colorado,72,79,-7
NA,Cincinnati,NA,SMU,76,69,7
NA,St. Mary's (TX),NA,UTRGV,67,96,-29
2,Iowa,44,Maryland,89,67,22
NA,Sacred Heart,NA,Merrimack,90,97,-7
NA,Tennessee Tech,66,Morehead St.,54,57,-3
NA,Saint Francis (PA),NA,LIU,75,78,-3
NA,Southeast Mo. St.,NA,Belmont,66,77,-11
NA,Indiana,27,Wisconsin,73,80,-7
NA,Idaho St.,NA,Northern Ariz.,73,69,4
NA,UNLV,NA,Colorado St.,71,74,-3
NA,Jacksonville St.,NA,Eastern Ky.,66,69,-3
NA,Murray St.,NA,Eastern Ill.,68,74,-6
NA,Montana St.,NA,Northern Colo.,79,67,12
40,BYU,1,Gonzaga,69,86,-17
6,Southern California,NA,Arizona,87,73,14
NA,Idaho,NA,Southern Utah,80,85,-5
NA,Washington,NA,Stanford,75,91,-16
53,Illinois,NA,Northwestern,81,56,25
NA,UT Martin,NA,Tennessee St.,62,74,-12
NA,Portland,NA,San Francisco,64,88,-24
NA,Nevada,58,San Diego St.,60,65,-5
NA,Washington St.,NA,California,71,60,11
46,UCLA,NA,Arizona St.,81,75,6
NA,IUPUI,NA,Milwaukee,70,94,-24
NA,Rider,NA,Niagara,76,70,6
NA,Central Conn. St.,NA,Bryant,64,76,-12
NA,Sacred Heart,NA,Merrimack,68,62,6
NA,Saint Francis (PA),NA,LIU,58,71,-13
51,Mount St. Mary's,NA,St. Francis Brooklyn,55,67,-12
NA,Manhattan,NA,Quinnipiac,79,84,-5
NA,Oakland,NA,Green Bay,81,84,-3
NA,Ga. Southern,18,App State,63,66,-3
NA,South Alabama,NA,Coastal Carolina,65,78,-13
NA,Kennesaw St.,65,Liberty,63,69,-6
14,Ohio,NA,Toledo,78,95,-17
NA,UT Arlington,NA,ULM,77,64,13
NA,Little Rock,NA,Louisiana,64,66,-2
NA,Fla. Atlantic,NA,Old Dominion,67,71,-4
NA,North Florida,NA,Jacksonville,65,66,-1
NA,Hawaii,NA,UC Riverside,88,83,5
NA,FIU,NA,Middle Tenn.,68,55,13
31,North Texas,NA,UTSA,77,70,7
22,Purdue,45,Michigan St.,55,54,1
NA,UIC,NA,Purdue Fort Wayne,89,96,-7
NA,Stetson,NA,North Ala.,86,77,9
NA,Youngstown St.,NA,Wright St.,74,72,2
NA,Northern Ky.,67,Cleveland St.,44,58,-14
NA,Lipscomb,NA,Bellarmine,77,72,5
NA,Midwestern St.,NA,SFA,71,87,-16
NA,Southern Miss.,NA,UAB,60,72,-12
NA,Louisiana Tech,NA,Western Ky.,64,66,-2
16,Grand Canyon,NA,Tarleton St.,75,72,3
NA,Air Force,NA,Boise St.,69,80,-11
NA,Long Beach St.,NA,Cal St. Fullerton,82,80,2
NA,South Dakota,NA,Kansas City,66,64,2
NA,California Baptist,NA,Utah Valley,50,77,-27
NA,Omaha,NA,North Dakota St.,69,71,-2
NA,Western Ill.,NA,South Dakota St.,77,83,-6
NA,North Dakota,33,Oral Roberts,72,71,1
29,Utah St.,NA,New Mexico,82,46,36
NA,Dayton,NA,Davidson,89,78,11
NA,San Jose St.,NA,Fresno St.,64,79,-15
NA,Rice,NA,UTEP,89,101,-12
NA,Cal Poly,NA,CSU Bakersfield,49,62,-13
34,Hartford,NA,UMass Lowell,62,71,-9
NA,Richmond,NA,George Mason,77,57,20
NA,Miami (FL),NA,NC State,64,59,5
NA,Hofstra,NA,Northeastern,56,67,-11
NA,Wake Forest,NA,Duke,68,79,-11
36,Alabama,NA,Auburn,94,90,4
NA,St. John's (NY),5,Creighton,79,97,-18
NA,IUPUI,NA,Milwaukee,63,71,-8
20,Ohio St.,62,Rutgers,79,68,11
NA,Gardner-Webb,30,Winthrop,65,75,-10
NA,Northern Ill.,NA,Miami (OH),58,70,-12
NA,South Fla.,NA,East Carolina,69,63,6
NA,Chattanooga,NA,The Citadel,87,92,-5
68,Drexel,NA,Col. of Charleston,60,61,-1
NA,Mississippi St.,NA,Vanderbilt,84,81,3
37,Texas,55,West Virginia,72,70,2
NA,Idaho,NA,Southern Utah,67,83,-16
NA,Seton Hall,NA,DePaul,76,68,8
NA,Marist,NA,Monmouth,64,80,-16
NA,Idaho St.,NA,Northern Ariz.,76,70,6
NA,Rhode Island,10,VCU,83,68,15
NA,Illinois St.,NA,Evansville,48,57,-9
NA,Vermont,NA,Binghamton,76,60,16
4,Virginia,NA,Boston College,61,49,12
NA,Missouri St.,NA,Valparaiso,81,68,13
